시설명,주소,경도,위도
사림제2경로당,경상남도 창원시 의창구 사림로16번길 27,128.678212066,35.245197592
정병산경로당,경상남도 창원시 의창구 용지로281번길 10,128.688423921,35.238752985
웅남경로당,경상남도 창원시 의창구 사림로71번길 18,128.681165771,35.247539983
봉촌경로당,경상남도 창원시 의창구 지귀로73번길 8-27,128.656016821,35.248018650
봉덕경로당,경상남도 창원시 의창구 봉곡로120번길 28-10,128.667887384,35.247278061
휴먼시아1단지경로당,경상남도 창원시 의창구 소봉로 50,128.669518461,35.253434829
휴먼시아 2단지경로당,경상남도 창원시 의창구 대봉로 25 ,128.664784114,35.251183176
피닉스포레경로당,경상남도 창원시 의창구 대봉로 27,128.664664415,35.251688630
코오롱아파트경로당,경상남도 창원시 의창구 지귀로95번길 7,128.656773343,35.247513369
까치1차(아)경로당,경상남도 창원시 성산구 창원천로 254 (반지동),128.667009123,35.244722769
까치2단지(아)경로당,경상남도 창원시 성산구 창원천로 256 (반지동),128.666921546,35.245454895
노블파크(아)경로당,경상남도 창원시 성산구 원이대로 449 (반림동),128.664976048,35.236476929
대동(아)경로당,경상남도 창원시 성산구 창원천로 292 (반지동),128.670092293,35.244897474
럭키아파트경로당,경상남도 창원시 성산구 반송로 105 (반림동),128.669166618,35.239036359
반지경로당,경상남도 창원시 성산구 창원천로188번길 23-1 (반지동),128.659850703,35.241681991
반지제2경로당,경상남도 창원시 성산구 반지로4번길 29-19 (반지동),128.662560070,35.238510791
반지제3경로당,경상남도 창원시 성산구 반지로 58 (반지동),128.663141367,35.242658448
반지제4경로당,경상남도 창원시 성산구 창원천로162번길 14 (반지동),128.656548872,35.241938601
트리비앙(아)경로당,경상남도 창원시 성산구 원이대로 495 (반림동),128.669724925,35.234277458
현대건설(아)경로당,경상남도 창원시 성산구 반송로 177 (반림동),128.674944433,35.236903791
현대산업아파트경로당,경상남도 창원시 성산구 외동반림로 219 (반림동),128.675938945,35.238450548
내동아파트경로당,경상남도 창원시 성산구 삼동로128번길 60 (내동),128.663510226,35.220668348
내동그라미아파트경로당,경상남도 창원시 성산구 연덕로184번길 19 (내동),128.667994925,35.218161448
대우아파트경로당,경상남도 창원시 성산구 상남로 48 (상남동),128.680275380,35.217786519
대호타워아파트경로당,경상남도 창원시 성산구 상남로24번길 13 (상남동),128.677822094,35.217048724
동성샛별아파트경로당,경상남도 창원시 성산구 연덕로184번길 1 (내동),128.666458139,35.219068431
외동경로당,경상남도 창원시 성산구 용지로21번길 30 (중앙동),128.672818507,35.220178361
외동월드메르디앙(아)경로당,경상남도 창원시 성산구 창원대로780번길 34 (외동),128.675160355,35.213842132
장수경로당,경상남도 창원시 성산구 외동반림로134번길 15 (중앙동),128.674123556,35.229780620
중앙경로당,경상남도 창원시 성산구 원이대로566번길 27-25 (중앙동),128.676735778,35.226523121
중앙제1경로당,경상남도 창원시 성산구 원이대로580번길 31 (중앙동),128.677521047,35.225798970
송죽경로당,경상남도 창원시 성산구 외동반림로46번길 17 (중앙동),128.674288292,35.222999790
내동월드메르디앙(아)경로당,경상남도 창원시 성산구 삼동로128번길 24 (내동),128.656391537,35.224597231
상남꿈에그린아파트경로당,경상남도 창원시 성산구 토월로27번길 18 (상남동),128.679440731,35.216341181
대원경로당,경상남도 창원시 성산구 대원로27번길 30 (대원동),128.650199500,35.232572580
