시설구분,시설명,주소,경도,위도
생활편익시설,소계경로당,경상남도 창원시 의창구 금강로 355번길 39(소계동),128.598501406,35.25936238
생활편익시설,의창경로당,경상남도 창원시 의창구 의안로 56번길 21(소답동),128.626209966,35.266740783
생활편익시설,오성아파트 경 로 당,"경상남도 창원시 의창구 서상로 27(동정동, 동정오성아파트)",128.615735135,35.263504827
생활편익시설,흥한웰가 경 로 당,"경상남도 창원시 의창구 천주로 33(동정동, 흥한웰가아파트) ",128.616564376,35.264869336
생활편익시설,대동다숲 경 로 당,"경상남도 창원시 의창구 팔용로 512 (서상동,중동대동 다숲아파트)",128.61860959,35.261139403
생활편익시설,강무경로당,경상남도 창원시 의창구 서상로 25번길 10-9 (동정동),128.615639147,35.264031663
생활편익시설,천주경로당,경상남도 창원시 의창구 소계로 128(소계동),128.596613275,35.260052504
생활편익시설,소답제2 경로당,경상남도 창원시 의창구 읍성로 117번길23 (소답동),,
생활편익시설,무학서문마을아파트경로당,경상남도 창원시 의창구 서상로12번길 83-15 (서상동),128.62203619,35.262245985
생활편익시설,유니시티2단지아파트경로당,"경상남도 창원시 의창구 중동로 33 (중동,유니시티2단지A)",128.627510962,35.255850842
생활편익시설,유니시티1단지아파트경로당,"경상남도 창원시 의창구 중동로 34 (중동,유니시티1단지A) 111동 1층",128.625879544,35.25401661
생활편익시설,유니시티4단지아파트경로당,경상남도 창원시 의창구 중동로78(중동유니시티4단지A) 시니어클럽(경로당) 402동 1층,,
생활편익시설,유니시티3단지아파트경로당,경상남도 창원시 의창구 중동로77(중동) 302동 창원중동유니시티3단지아파트경로당,,
생활편익시설,팔룡 제1경로당,경상남도 창원시 의창구 팔용로423번길 5,128.611344999,35.254858873
생활편익시설,팔룡제2경로당,경상남도 창원시 의창구 사화로80번길 16,128.614379706,35.252587753
생활편익시설,구슬비경로당,경상남도 창원시 의창구 남산로27번길 16,128.614224908,35.259919285
생활편익시설,대동중앙(아)경로당,경상남도 창원시 의창구 반계로 101,128.616149704,35.254835486
생활편익시설,극동아파트경로당,경상남도 창원시 의창구 팔용로 446,128.615087551,35.255798653
생활편익시설,차룡대동(아)경로당,경상남도 창원시 의창구 반계로 95,128.615702599,35.253902978
생활편익시설,벽산블루밍A단지경로당,경상남도 창원시 의창구 반계로 104-9,128.617541971,35.254233415
생활편익시설,벽산블루밍B단지경로당,경상남도 창원시 의창구 반계로 104-8,128.618196774,35.2526269
생활편익시설,벽산블루밍C단지경로당,경상남도 창원시 의창구 남산로 20,128.612067063,35.258978161
생활편익시설,명곡경로당,경상남도 창원시 의창구 태복산로15번길 8,128.640191536,35.253936553
생활편익시설,낙원경로당,경상남도 창원시 의창구 도계로73번길 19,128.640451176,35.259252703
생활편익시설,안골경로당,경상남도 창원시 의창구 하남천서길65,128.642123509,35.263617772
생활편익시설,도계경로당,경상남도 창원시 의창구 도계두리길86번길 14-2,128.6385543,35.262107508
