gid,lbl,val,point,경도,위도,geometry
마라033523,9.0,9.0,POINT (1103350 1652350),128.63064210448695,34.860580225062776,POINT (1103350.0000000012 1652349.999999999)
마라035561,34.0,34.0,POINT (1103550 1656150),128.63329989485018,34.894820113020415,POINT (1103550.0000000002 1656150.0000000005)
라라925493,17.0,17.0,POINT (1092550 1649350),128.51217684658096,34.83457251827437,POINT (1092550.000000001 1649349.999999999)
라라956560,7.0,7.0,POINT (1095650 1656050),128.54684046829524,34.89469382398489,POINT (1095650 1656049.9999999998)
마라027551,13.0,13.0,POINT (1102750 1655150),128.62442296679922,34.88588556056181,POINT (1102750.000000003 1655150.000000001)
마라089541,17.0,17.0,POINT (1108950 1654150),128.69212850125265,34.876223475416424,POINT (1108950.0000000023 1654150)
마라053550,9.0,9.0,POINT (1105350 1655050),128.6528578812001,34.88471750841015,POINT (1105349.9999999995 1655050.000000001)
마라091667,6.0,6.0,POINT (1109150 1666750),128.69596428357656,34.98979822831159,POINT (1109149.999999999 1666750)
마라076533,14.0,14.0,POINT (1107650 1653350),128.67780373197928,34.86914952930396,POINT (1107650.000000001 1653349.9999999995)
마라123535,14.0,14.0,POINT (1112350 1653550),128.72924321940403,34.87044371409321,POINT (1112349.9999999995 1653549.999999999)
라라922500,6.0,6.0,POINT (1092250 1650050),128.50897334647792,34.84091116792642,POINT (1092250.0000000014 1650050.0000000005)
마라076534,9.0,9.0,POINT (1107650 1653450),128.6778165898952,34.87005110175638,POINT (1107650.0000000016 1653450)
라라890536,12.0,12.0,POINT (1089050 1653650),128.47436098007051,34.8736552795055,POINT (1089049.9999999993 1653649.9999999998)
마라126545,28.0,28.0,POINT (1112650 1654550),128.73265949065114,34.87942602415546,POINT (1112650.0000000028 1654550)
