격자이름,total_idx,경도,위도,geometry,ADM_NM,ADM_CD,시군구명
마마225215,0.0008118096919323,128.85092235563786,35.482262952593786,POINT (1122550.000000001 1721549.9999999993),단장면,38080350,밀양시
마마197301,0.0001846143830775,128.82133430648105,35.56012714532667,POINT (1119750 1730149.999999999),상동면,38080320,밀양시
마마006294,3.950436204373172e-05,128.61053456288286,35.555942160607685,POINT (1100649.9999999998 1729450.0000000005),청도면,38080390,밀양시
마마146124,0.0003402495061756,128.76257498482954,35.40117362963866,POINT (1114650.000000003 1712450.0000000007),상남면,38080360,밀양시
마마317345,0.0,128.95442419255355,35.59826363035026,POINT (1131750.0000000033 1734550.0000000002),산내면,38080340,밀양시
마마141276,8.355285102337945e-05,128.75920452299812,35.53825236775468,POINT (1114150 1727649.9999999998),상동면,38080320,밀양시
마마227146,0.0001473440517736,128.85208548390665,35.4200399402439,POINT (1122750.0000000019 1714649.9999999995),삼랑진읍,38080110,밀양시
마마075116,0.0003272256402704,128.68429665918853,35.39475358515304,POINT (1107549.9999999993 1711650.0000000002),초동면,38080370,밀양시
마마215133,0.0004677178214932,128.83867691372242,35.40846852818996,POINT (1121550.0000000007 1713350.0000000005),삼랑진읍,38080110,밀양시
마마306234,0.0,128.94049346990272,35.4983568079069,POINT (1130650 1723449.9999999998),단장면,38080350,밀양시
마마074171,0.0001028746887947,128.6839209641849,35.444346248324194,POINT (1107450.0000000007 1717150.0000000016),초동면,38080370,밀양시
마마063146,0.0003013083739329,128.67147655551403,35.42192722286241,POINT (1106350.0000000016 1714650.0000000002),초동면,38080370,밀양시
마마309271,0.0004917181133416,128.9443975894558,35.531668337824385,POINT (1130949.9999999995 1727149.999999999),단장면,38080350,밀양시
마마216140,0.0004811998382409,128.83988244357056,35.414766366334966,POINT (1121649.9999999988 1714050.000000001),삼랑진읍,38080110,밀양시
마마006214,0.0005943498981974,128.60954150080363,35.48382241443179,POINT (1100649.9999999993 1721449.9999999993),무안면,38080380,밀양시
마마037302,7.071932788440445e-05,128.64483535722889,35.56283413516576,POINT (1103749.9999999998 1730250.000000001),청도면,38080390,밀양시
마마248184,0.0007546836287206,128.8757936951423,35.454032674282224,POINT (1124850.000000001 1718450.0000000007),단장면,38080350,밀양시
마마063234,0.0,128.67262746654745,35.50125799616437,POINT (1106350.000000003 1723449.9999999998),무안면,38080380,밀양시
마마241340,0.0,128.87047100189503,35.594739920283736,POINT (1124150.0000000007 1734050),산내면,38080340,밀양시
마마064143,0.0009019919170945,128.67253868596535,35.41921205716512,POINT (1106450.0000000035 1714350.0000000007),초동면,38080370,밀양시
마마117085,0.0001454392012635,128.7301116900509,35.366345529792454,POINT (1111750.0000000028 1708549.9999999995),하남읍,38080120,밀양시
마마013259,0.0001439687567565,128.61781886980515,35.52431858317744,POINT (1101350.0000000005 1725949.999999999),청도면,38080390,밀양시
라마992203,0.0006449866228364,128.59397639116762,35.47404673260538,POINT (1099250.0000000023 1720350),무안면,38080380,밀양시
라마995202,0.0006383062609317,128.5972703303616,35.47311520823929,POINT (1099549.9999999993 1720250),무안면,38080380,밀양시
마마120253,0.0005869866189735,128.73572602915945,35.51775854061003,POINT (1112050.0000000002 1725349.9999999998),부북면,38080310,밀양시
마마257232,0.0010613153210544,128.88645149838797,35.497186860307934,POINT (1125749.9999999993 1723250),단장면,38080350,밀양시
마마291355,0.0002260706999588,128.9258900399848,35.60762032017988,POINT (1129149.9999999995 1735550.0000000005),산내면,38080340,밀양시
마마289281,0.0,128.92250257723217,35.540944346539,POINT (1128950.0000000007 1728150.0000000007),단장면,38080350,밀양시
마마206152,0.0003873710205496,128.82904853588775,35.42570530424306,POINT (1120649.999999999 1715250.0000000002),삼랑진읍,38080110,밀양시
마마063248,0.0,128.67281098103092,35.51387870166177,POINT (1106350.000000001 1724849.9999999995),무안면,38080380,밀양시
마마174250,0.0004736779543793,128.79522235865053,35.51442951665929,POINT (1117450.000000001 1725050.0000000007),산외면,38080330,밀양시
마마304242,0.0,128.93841756058455,35.50559418630012,POINT (1130450.0000000007 1724250.0000000019),단장면,38080350,밀양시
마마060201,0.0,128.66888934732057,35.47154114928982,POINT (1106049.9999999993 1720150.0000000002),무안면,38080380,밀양시
마마219150,0.0003303666410473,128.8433355592138,35.42374399757788,POINT (1121950.0000000005 1715050.0000000005),삼랑진읍,38080110,밀양시
마마014259,0.0001339271289568,128.61892161125914,35.52430835746534,POINT (1101450.0000000002 1725949.9999999998),청도면,38080390,밀양시
마마222213,0.0007900093537748,128.84758604611068,35.48049708014484,POINT (1122249.9999999988 1721349.9999999995),단장면,38080350,밀양시
마마197300,0.000196998102199,128.82131950911852,35.55922572521168,POINT (1119750.0000000033 1730050.0000000005),상동면,38080320,밀양시
마마082119,0.0,128.6920430971858,35.39738224719783,POINT (1108249.999999999 1711950.0000000005),초동면,38080370,밀양시
마마169158,1.988379008275225e-05,128.78838580738187,35.43155567726698,POINT (1116950.0000000012 1715850.0000000002),상남면,38080360,밀양시
마마124205,0.0005344872810526,128.7394715472089,35.47444326996584,POINT (1112450.0000000002 1720550.0000000005),부북면,38080310,밀양시
마마228271,0.0003728938423973,128.8550764784059,35.53270516658057,POINT (1122849.999999999 1727149.9999999998),산외면,38080330,밀양시
마마038298,0.0001025423825099,128.64588728039345,35.55921773459125,POINT (1103850.0000000002 1729850),청도면,38080390,밀양시
마마085131,0.0001708488722729,128.6955057649041,35.40816745206021,POINT (1108550.000000001 1713150),초동면,38080370,밀양시
마마184276,0.0001612307356662,128.8066275957331,35.537747810644795,POINT (1118449.9999999995 1727649.999999999),산외면,38080330,밀양시
마마251198,0.0001174337832221,128.8793141583777,35.46661474486758,POINT (1125149.9999999993 1719849.9999999998),단장면,38080350,밀양시
